Time (seconds),temp_CPU,light,temp_OUT,moist_lv,year,month,date,hour,min,sec
24602.09,15,0,15,148,2026,2,7,21,43,24
24662.10,15,0,15,148,2026,2,7,21,44,24
24722.09,15,0,15,148,2026,2,7,21,45,24
24782.09,15,0,15,148,2026,2,7,21,46,24
24842.91,15,0,15,148,2026,2,7,21,47,24
24902.09,15,0,15,148,2026,2,7,21,48,24
24962.09,15,0,15,147,2026,2,7,21,49,24
25022.09,15,0,15,149,2026,2,7,21,50,24
25082.09,15,0,15,148,2026,2,7,21,51,24
25142.09,15,0,15,148,2026,2,7,21,52,24
25202.09,15,0,15,148,2026,2,7,21,53,24
25262.91,15,0,15,149,2026,2,7,21,54,24
25322.09,15,0,15,148,2026,2,7,21,55,24
25382.10,15,0,15,148,2026,2,7,21,56,24
25442.09,15,0,15,148,2026,2,7,21,57,24
25502.09,15,0,15,148,2026,2,7,21,58,24
25562.91,15,0,15,148,2026,2,7,21,59,24
25622.09,15,0,15,148,2026,2,7,22,0,24
25682.09,15,0,15,148,2026,2,7,22,1,24
25742.09,15,0,15,149,2026,2,7,22,2,24
25802.09,15,0,15,148,2026,2,7,22,3,24
25862.09,15,0,15,148,2026,2,7,22,4,24
25923.73,15,0,15,149,2026,2,7,22,5,25
25982.09,15,0,15,149,2026,2,7,22,6,24
26042.09,15,0,15,148,2026,2,7,22,7,24
26102.10,15,0,15,148,2026,2,7,22,8,24
26162.91,15,0,15,149,2026,2,7,22,9,24
26222.91,15,0,15,149,2026,2,7,22,10,24
26282.91,15,0,15,149,2026,2,7,22,11,24
26342.09,15,0,15,150,2026,2,7,22,12,24
26402.09,15,0,15,149,2026,2,7,22,13,24
26462.09,15,0,15,149,2026,2,7,22,14,24
26522.09,15,0,15,149,2026,2,7,22,15,24
26582.09,15,0,15,149,2026,2,7,22,16,24
26642.09,15,0,15,149,2026,2,7,22,17,24
26702.09,15,0,15,149,2026,2,7,22,18,24
26762.09,15,0,15,149,2026,2,7,22,19,24
26822.10,15,0,15,149,2026,2,7,22,20,24
26882.09,15,0,15,149,2026,2,7,22,21,24
26942.09,15,0,15,149,2026,2,7,22,22,24
27002.09,15,0,15,149,2026,2,7,22,23,24
27062.09,15,0,15,149,2026,2,7,22,24,24
27122.09,15,0,15,149,2026,2,7,22,25,24
27182.09,15,0,15,149,2026,2,7,22,26,24
27242.09,15,0,15,149,2026,2,7,22,27,24
27302.09,15,0,15,149,2026,2,7,22,28,24
27362.09,15,0,15,149,2026,2,7,22,29,24
27422.09,15,0,15,149,2026,2,7,22,30,24
27482.09,15,0,15,149,2026,2,7,22,31,24
27542.10,15,0,15,150,2026,2,7,22,32,24
27602.91,15,0,15,150,2026,2,7,22,33,24
27662.91,15,0,15,149,2026,2,7,22,34,24
27722.91,15,0,15,149,2026,2,7,22,35,24
27782.09,14,0,15,149,2026,2,7,22,36,24
27842.09,15,0,15,149,2026,2,7,22,37,24
27902.09,15,0,15,150,2026,2,7,22,38,24
27962.09,14,0,15,149,2026,2,7,22,39,24
28022.09,14,0,15,149,2026,2,7,22,40,24
28082.09,14,0,15,149,2026,2,7,22,41,24
28142.91,14,0,15,150,2026,2,7,22,42,24
28202.91,14,0,15,150,2026,2,7,22,43,24
28262.91,14,0,15,150,2026,2,7,22,44,24
28322.91,14,0,15,150,2026,2,7,22,45,24
28382.91,14,0,15,150,2026,2,7,22,46,24
28442.09,14,0,15,149,2026,2,7,22,47,23
28502.09,14,0,15,149,2026,2,7,22,48,23
28562.09,14,0,15,150,2026,2,7,22,49,23
28622.09,14,0,15,150,2026,2,7,22,50,23
28682.09,14,0,14,150,2026,2,7,22,51,23
28742.09,14,0,14,150,2026,2,7,22,52,23
28802.09,14,0,14,149,2026,2,7,22,53,23
28862.09,14,0,14,150,2026,2,7,22,54,23
28922.09,14,0,14,150,2026,2,7,22,55,23
28982.10,14,0,14,150,2026,2,7,22,56,23
29042.09,14,0,14,150,2026,2,7,22,57,23
29102.09,14,0,14,150,2026,2,7,22,58,23
29162.09,14,0,14,151,2026,2,7,22,59,23
29222.91,14,0,14,150,2026,2,7,23,0,24
29282.09,14,0,14,150,2026,2,7,23,1,23
29342.09,14,0,14,150,2026,2,7,23,2,23
29402.09,14,0,14,150,2026,2,7,23,3,23
29462.09,14,0,14,151,2026,2,7,23,4,23
29522.09,14,0,14,150,2026,2,7,23,5,23
29583.73,14,0,14,151,2026,2,7,23,6,25
29642.09,14,0,14,151,2026,2,7,23,7,23
29702.10,14,0,14,150,2026,2,7,23,8,23
29762.09,14,0,14,151,2026,2,7,23,9,23
29822.09,14,0,14,150,2026,2,7,23,10,23
29882.09,14,0,14,150,2026,2,7,23,11,23
29942.09,14,0,14,151,2026,2,7,23,12,23
30003.73,14,0,14,151,2026,2,7,23,13,25
30062.09,14,0,14,151,2026,2,7,23,14,23
30122.09,14,0,14,151,2026,2,7,23,15,23
30182.09,14,0,14,151,2026,2,7,23,16,23
30242.09,14,0,14,150,2026,2,7,23,17,23
30302.09,14,0,14,150,2026,2,7,23,18,23
30362.91,14,0,14,151,2026,2,7,23,19,24
30422.10,14,0,14,151,2026,2,7,23,20,23
30482.09,14,0,14,151,2026,2,7,23,21,23
30542.09,14,0,14,151,2026,2,7,23,22,23
30602.09,14,0,14,150,2026,2,7,23,23,23
30662.09,14,0,14,151,2026,2,7,23,24,23
30722.09,14,0,14,151,2026,2,7,23,25,23
30782.09,14,0,14,151,2026,2,7,23,26,23
30842.91,14,0,14,151,2026,2,7,23,27,24
30902.09,14,0,14,151,2026,2,7,23,28,23
30962.09,14,0,14,150,2026,2,7,23,29,23
31022.09,14,0,14,151,2026,2,7,23,30,23
31082.91,14,0,14,151,2026,2,7,23,31,24
31142.91,14,0,14,151,2026,2,7,23,32,24
31202.91,14,0,14,151,2026,2,7,23,33,24
31263.73,14,0,14,152,2026,2,7,23,34,25
31322.09,14,0,14,151,2026,2,7,23,35,23
31382.09,14,0,14,151,2026,2,7,23,36,23
31442.09,14,0,14,151,2026,2,7,23,37,23
31502.09,14,0,14,151,2026,2,7,23,38,23
31562.09,14,0,14,151,2026,2,7,23,39,23
31622.09,14,0,14,152,2026,2,7,23,40,23
31682.91,14,0,14,152,2026,2,7,23,41,24
